Animal,part,disease,symptoms 1,Symptoms 2,Symptoms 3,Symptoms 4,Symptoms 5,Symptoms 6,Symptoms 7,severity,treatment
dog,tongue,Canine Oral Papillomatosis,Wart-Like Growth,Bleeding Gums,Drooling,Chewing Difficulty,Pain,Mouth Odor,Tongue Swelling,Mild,"Use coconut oil, maintain hydration, soft diet until the warts heal."
dog,tongue,Lingual Hematoma,Blood Blisters,Bruising on Tongue,Painful Tongue,Discomfort While Eating,Swelling,Discoloration,Lethargy,Severe,"Apply cold compress, offer soft foods, ensure rest, and visit a vet if condition worsens."
dog,tongue,Ulcerative Stomatitis,Tongue Ulcers,Pain While Eating,Drooling,Foul Odor,Swollen Tongue,Tongue Discoloration,Refusal to Eat,Severe,"Clean tongue with saline, feed soft foods, ensure hydration, and visit a vet if ulcers persist."
dog,tongue,Salivary Mucocele,Excessive Drooling,Swollen Glands,Soft Swelling Under Tongue,Difficulty Swallowing,Pain When Eating,Foul Smell,Tongue Enlargement,Moderate,"Massage the area gently, provide soft foods, and keep the area clean until swelling reduces."
dog,tongue,Thrush (Fungal Infection),White Tongue Spots,Red Tongue,Bad Breath,Tongue Pain,Loss of Appetite,Excessive Salivation,Fatigue,Mild,"Rinse mouth with diluted baking soda solution, ensure proper hydration, and offer soft foods."
dog,tongue,Tongue Foreign Body,Visible Object,Pawing at Mouth,Gagging,Difficulty Eating,Drooling,Tongue Swelling,Discomfort,Severe,"Remove the object if visible and safe to do so; otherwise, consult a vet immediately."
dog,tongue,Canine Stomatitis,Tongue Inflammation,Bleeding Tongue,Difficulty Chewing,Mouth Odor,Drooling,Refusal to Eat,Tongue Sensitivity,Severe,"Rinse with saltwater, ensure a soft diet, and seek veterinary care if inflammation persists."
dog,tongue,Tongue Tumor,Tongue Lump,Pain While Eating,Swelling,Difficulty Swallowing,Discomfort,Drooling,Bad Breath,Moderate,"Maintain hydration, offer soft food, and consult a vet for further evaluation of the tumor."
dog,tongue,Oral Candidiasis,White Tongue Patches,Loss of Appetite,Tongue Pain,Swollen Tongue,Difficulty Swallowing,Drooling,Irritability,Mild,"Provide a diluted hydrogen peroxide rinse, soft foods, and consult a vet for antifungal treatment"
dog,,,,,,,,,,,
dog,mouth,Gingivitis,"Red, swollen gums",Bad breath,Bleeding gums,Pain while chewing,Loss of appetite,Drooling,Receding gums,Medium,Brushing teeth with dog-safe toothpaste
dog,mouth,Periodontal Disease,Loose teeth,Gum recession,Bad breath,Difficulty eating,Swollen gums,Yellowish teeth,Pain while chewing,High,Dental chews and brushing
dog,mouth,Mouth Ulcers,Open sores in mouth,Drooling,Bad breath,Pain while eating,Bleeding,Swollen lips,Pawing at mouth,High,Saline rinse and soft food
dog,mouth,Canine Oral Papillomavirus,Warts around mouth,Difficulty eating,Bad breath,Excessive drooling,Bleeding warts,Discomfort,Pawing at mouth,Medium,"Monitor, soft food, and hydration"
dog,mouth,Stomatitis,"Red, inflamed mouth lining",Drooling,Bad breath,Pain when eating,Swollen gums,Difficulty swallowing,Bleeding,High,Rinse mouth with saline solution
dog,mouth,Tooth Abscess,Swelling near tooth,Pus discharge,Pain while chewing,Refusal to eat,Red gums,Bad breath,Fever,High,Warm compress and soft food
dog,mouth,Oral Tumors,Lump in mouth,Bleeding,Difficulty eating,Swollen jaw,Weight loss,Drooling,Bad breath,High,Monitor and soft food
dog,mouth,Broken Tooth,Visible crack in tooth,Pain while eating,Drooling,Chewing on one side,Bad breath,Bleeding gums,Sensitivity to touch,Medium,Cold compress and soft food
dog,mouth,Lip Fold Dermatitis,Inflammation of lip folds,Bad smell,Moist skin,Redness,Itching,Crusty skin,Swollen lips,Low,Clean with antiseptic solution
dog,mouth,Canine Distemper (Oral Phase),Mouth ulcers,Thick discharge from eyes,Fever,Vomiting,Coughing,Loss of appetite,Nasal discharge,High,Hydration and rest
dog,mouth,Dental Caries (Cavities),Visible holes in teeth,Bad breath,Pain while chewing,Tooth sensitivity,Discolored teeth,Bleeding gums,Drooling,Medium,Brushing and dental chews
dog,mouth,Canine Herpesvirus,Sores around mouth,Sneezing,Coughing,Fever,Runny nose,"Red, inflamed gums",Refusal to eat,High,Soft food and hydration
dog,mouth,Oral Foreign Body,Object stuck in mouth,Drooling,Gagging,Difficulty eating,Pawing at mouth,Swollen mouth,Bad breath,High,"Remove object if safe, rinse mouth"
dog,mouth,Oral Hematoma,Swelling inside mouth,Pain while eating,Bleeding,Refusal to eat,Drooling,Bruising,Visible lump,Medium,Cold compress
dog,mouth,Salivary Mucocele,Swollen glands under tongue,Drooling,Difficulty swallowing,Pain while eating,Swollen jaw,Mouth breathing,Bad breath,High,Hydration and monitor
dog,mouth,Oral Trauma,Bleeding from mouth,Swollen lips or jaw,Difficulty eating,Pain while chewing,Broken teeth,Drooling,Bruising,High,"Cold compress, soft food"
dog,mouth,Tartar Buildup,Yellow or brown teeth,Bad breath,Bleeding gums,Receding gums,Loose teeth,Pain while chewing,Gum inflammation,Medium,Dental chews and brushing
dog,mouth,Glossitis,"Red, inflamed tongue",Drooling,Pain while chewing,Bad breath,Difficulty eating,Swollen tongue,Ulcers on tongue,Medium,Rinse with saline solution
dog,mouth,Cheilitis,Inflammation of lips,Cracking of skin,Bleeding,Pain while eating,Dry mouth,Swollen lips,Bad breath,Medium,Apply ointment and keep area dry
dog,mouth,Pharyngitis,Swollen throat,Difficulty swallowing,Coughing,Gagging,Drooling,Bad breath,Loss of appetite,Medium,Hydration and soft food
dog,mouth,Tonsillitis,Swollen tonsils,Coughing,Difficulty swallowing,Drooling,Pawing at mouth,Bad breath,Fever,Medium,Soft food and hydration
dog,mouth,Fungal Infection (Oral),White patches in mouth,Bad breath,Drooling,Pain while eating,Swollen gums,Bleeding,Discomfort,Medium,Rinse with saline solution
dog,mouth,Canine Oral Thrush,White coating on tongue,Red gums,Bad breath,Pain while chewing,Loss of appetite,Drooling,Difficulty swallowing,Medium,Rinse with saline and soft food
dog,mouth,Cracked Tongue,Visible cracks on tongue,Bleeding,Drooling,Pain while eating,Bad breath,Swollen tongue,Difficulty swallowing,Medium,Apply honey or soft food
dog,mouth,Palatitis,Inflammation of palate,"Red, swollen palate",Pain while eating,Bleeding,Drooling,Bad breath,Loss of appetite,High,Rinse with saline solution
dog,mouth,Oral Cyst,Lump inside mouth,Swollen gums,Pain while chewing,Bleeding,Difficulty swallowing,Drooling,Bad breath,Medium,"Monitor, soft food"
dog,mouth,Dog Bite (Mouth Injury),Puncture wounds on lips,Swollen mouth,Bleeding,Pain while chewing,Visible cuts,Drooling,Bad breath,High,Clean wound with antiseptic solution
dog,mouth,Oral Allergy Reaction,Swollen lips or tongue,Itching,Drooling,Swollen mouth,Bad breath,Pawing at mouth,Difficulty breathing,High,Rinse mouth and administer antihistamine
dog,mouth,Dry Mouth (Xerostomia),"Dry, sticky mouth",Thick saliva,Bad breath,Difficulty swallowing,Cracking lips,Gum irritation,Tongue sticking to roof,Low,"Hydration, apply coconut oil to gums"
dog,mouth,Gum Hyperplasia,Overgrowth of gum tissue,Bleeding,Bad breath,Pain while chewing,Loose teeth,Swollen gums,Difficulty eating,Medium,"Soft food, dental chews"
dog,mouth,Oral Abscess,Pus-filled lump,Bad breath,Pain while chewing,Swollen gums,Difficulty eating,Drooling,Bleeding,High,"Apply warm compress, soft food"
dog,mouth,Canine Calcinosis Circumscripta,Hard calcium deposits in mouth,Swelling,Pain while chewing,Drooling,Swollen gums,Bleeding,Difficulty eating,High,Monitor and soft food
dog,mouth,Epulis (Oral Growth),Lump on gum line,Swollen gums,Bleeding,Pain while chewing,Difficulty eating,Drooling,Bad breath,Medium,Monitor and soft food
dog,mouth,Lip Tumor,Swollen lips,Bleeding,Pain while eating,Visible lump,Drooling,Bad breath,Discomfort,Medium,"Monitor, soft food"
dog,,,,,,,,,,,
dog,tail,Tail Wagging Disorder,Excessive wagging,Weakness in tail,Swelling,Soreness,Bruising,Difficulty moving tail,Lethargy,Moderate,"Rest, limit activity, warm compress"
dog,tail,Limp Tail Syndrome,Sudden limp tail,Tail held low,Pain when touched,Loss of movement,Swollen base,Reluctance to wag,Inactivity,Severe,"Warm compress, NSAIDs, rest"
dog,tail,Tail Trauma,Bruising,Swelling,Open wound,Tail sensitivity,Fur loss,Bleeding,Pain,Severe,"Clean wound, bandage, limit movement"
dog,tail,Anal Gland Infection,Scooting,Tail biting,Tail swelling,Foul odor,Licking,Redness,Discomfort,Moderate,"Clean area, warm compress, dietary changes"
dog,tail,Flea Allergy Dermatitis,Tail itching,Hair loss around tail,Scratching,Red patches,Biting at tail,Skin irritation,Scabs,Mild,"Anti-itch spray, flea prevention, bath"
dog,tail,Hematoma (Tail),Swollen tail tip,Bruising,Pain when touched,Blood accumulation,Tail swelling,Lethargy,Discomfort,Severe,"Apply cold compress, rest, monitor closely"
dog,tail,Dermatitis,Tail skin redness,Itchy tail,Scaly skin,Tail irritation,Hair loss,Dry patches,Flaking skin,Mild,"Hydrocortisone cream, bathe with medicated shampoo"
dog,tail,Fractured Tail,Swollen tail,Lack of movement,Painful tail,Bruising,Visible fracture,Open wounds,Lethargy,Severe,"Immobilize tail, bandage, rest"
dog,tail,Broken Tail,Bent tail,Swollen base,Unable to wag,Bruising,Pain,Tail dragging,Tail shaking,Severe,"Bandage, stabilize tail, minimize movement"
dog,tail,Allergic Reaction,Tail hives,Swollen tail skin,Redness,Itchy tail,Swelling,Bumps,Discomfort,Moderate,"Antihistamines, oatmeal bath, cold compress"
dog,tail,Insect Bite (Tail),Swelling,Redness,Itchy spot,Bite mark visible,Tail biting,Skin rash,Pain,Mild,"Clean bite, apply ice, topical cream"
dog,tail,Hot Spots,Moist skin lesions,Red patches,Hair loss,Oozing tail wound,Pain,Itching,Swelling,Moderate,"Clean area, apply topical antibiotics"
dog,tail,Fungal Infection,Ring-shaped patches,Red skin,Hair loss,Crusty areas,Skin flaking,Tail irritation,Foul odor,Mild,"Antifungal cream, keep area dry"
dog,tail,Skin Infection,Pus-filled sores,Red patches,Painful spots,Tail itching,Scabs,Hair loss,Skin redness,Moderate,"Clean wound, antibacterial ointment"
dog,tail,Tail Paralysis,Sudden immobility,Limp tail,Loss of sensation,Swelling,No wagging,Pain,Lethargy,Severe,"Rest, limit movement, NSAIDs"
dog,tail,Cold Tail,"Limp, cold tail",Pain when touched,Lack of movement,Discomfort,Swelling,Tail held low,Shivering,Moderate,"Warm compress, rest, monitor for improvement"
dog,tail,Skin Allergy,Itchy tail,Red skin,Bumps on tail,Tail biting,Dry skin,Swelling,Hair loss,Mild,"Antihistamines, hypoallergenic diet"
dog,tail,Tick Infestation,Visible ticks,Tail scratching,Swelling,Red spots,Lethargy,Hair loss,Irritation,Mild,"Remove ticks, apply tick prevention"
dog,tail,Mange,Hair loss patches,Tail itching,Scabs,Crusty skin,Redness,Inflammation,Irritation,Moderate,"Medicated shampoo, anti-parasitic treatments"
dog,tail,Tail Abrasion,Skin scraped,Redness,Scabs forming,Painful tail,Irritation,Tail licking,Swelling,Mild,"Clean with antiseptic, bandage"
dog,tail,Abscess (Tail),Swollen tail lump,Pus discharge,Painful to touch,Redness,Inflammation,Warm tail,Fever,Severe,"Clean wound, apply warm compress, seek vet if worsens"
dog,tail,Tail Neoplasia,Tail mass,Lump growth,Tail discomfort,Skin ulcer,Redness,Swelling,Loss of hair,Severe,"Bandage, limit movement, vet examination"
dog,tail,Infected Tail Wound,Pus-filled wound,Redness,Swelling,Pain,Tail irritation,Warm sensation,Lethargy,Severe,"Clean with antiseptic, apply bandage, monitor"
dog,tail,Lyme Disease,Lethargy,Swollen joints,Tail stiffness,Fever,Tail discomfort,Loss of appetite,Fatigue,Severe,"Antibiotics, monitor for worsening symptoms"
dog,tail,Tail Avulsion,Tail tearing,Loss of tail movement,Severe pain,Bruising,Bleeding,Swelling,Lethargy,Severe,"Clean wound, immobilize tail, vet care needed"
dog,tail,Muscle Strain (Tail),Tail stiffness,Painful movement,Weak tail wagging,Soreness,Swelling,Reluctance to move tail,Tail shaking,Moderate,"Rest, warm compress, limit tail movement"
dog,tail,Seborrhea (Tail),Greasy skin,Flaky skin,Red patches,Itching,Hair loss,Skin odor,Tail scaling,Mild,"Medicated shampoo, omega-3 fatty acids"
dog,tail,Tail Necrosis,Tail tissue death,Blackened skin,Foul odor,Dead tissue,Swelling,Pain,Open wound,Severe,"Clean area, seek veterinary care immediately"
dog,tail,Bacterial Infection,Tail swelling,Pus discharge,Painful spots,Red skin,Fever,Tail soreness,Hair loss,Severe,"Antibacterial ointment, warm compress"
dog,tail,Tail Frostbite,"Cold, stiff tail",Pale skin patches,Tail held low,Redness when warm,Blistering,Pain,Lack of movement,Severe,"Gradual warming, avoid heat sources, monitor"
